"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","SERP impressions","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"пельмени домашние в магазине кировский каменск уральский","2019-07-01 - 2019-09-09","1.00","0.00","0.00","16.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","16.00",""
"заказать на дом еду в кирове салаты","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"еде на дом","2019-07-01 - 2019-09-09","1.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"шумовка киров меню","2019-07-01 - 2019-09-09","1.00","1.00","100.00","2.00","2.00","0.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"киров лапша вок","2019-07-01 - 2019-09-09","1.00","0.00","0.00","13.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"заказать пиццу в кирове с доставкой цена 450","2019-07-01 - 2019-09-09","1.00","1.00","100.00","1.00","1.00","0.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"заказ горячей еды киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"столовая шумовка киров калинина","2019-07-01 - 2019-09-09","1.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"еда на вынос из ресторана","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"в кирове заказать оля ля закусочки на самовывоз меню","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"что можно заказать поесть на дом","2019-07-01 - 2019-09-09","1.00","0.00","0.00","19.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","19.00",""
"блинок заказать","2019-07-01 - 2019-09-09","1.00","0.00","0.00","3.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"ооо топтыгин пельмени","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"bytorina6425","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"супы готовые купить в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"пекарня горячие чебурек","2019-07-01 - 2019-09-09","1.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"чем отличаются чебуреки с центрального рынка г. киров от чебуреков октябрьского рынка г. киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"роллы на заказ с доставкой","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"пельмени в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"еда заказать","2019-07-01 - 2019-09-09","1.00","0.00","0.00","13.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"киров еда доставка","2019-07-01 - 2019-09-09","1.00","0.00","0.00","17.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","17.00",""
"чизкейки кироввк","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"готовая еда на дом","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"заказ чебуреков в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"удон киров заказать еду","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"чизкейк на воровского киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"шумовки","2019-07-01 - 2019-09-09","1.00","0.00","0.00","33.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","33.00",""
"доставка еды от 200 рублей бесплатно","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"чизкейк киров московская","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"купить дезерты киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"салат в горшке цена киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"пельмени домашние в сети кировский","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"киров заказать обед с доставкой по кирову","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"см1323","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"калинина 40 кафе шумовка","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"где можно заказать обед на дом киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"купить домашний десерт в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"пицца заказать","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"кафе киров шумовка шубин артем","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"доставка пицца в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"450 рублей роллы киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","1.00","","0.00","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"заказать роллы кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"столовая супчик киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"лучшие удоны кирова","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"горячие обеды доставка киров","2019-07-01 - 2019-09-09","1.00","1.00","100.00","7.00","7.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","7.00","7.00","0.00","0.00","","",""
"доставка роллов и лапши киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"пицца от 190 рублей с бесплатной доставкой","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"замороженные чебуреки купить киров","2019-07-01 - 2019-09-09","1.00","1.00","100.00","6.00","6.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","6.00","6.00","0.00","0.00","","",""
"киров блинные","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"кировский чебурек с мясом","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"доставка еды в больницы кирова","2019-07-01 - 2019-09-09","1.00","0.00","0.00","15.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"лапша киров доставка ул.труда","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"заказ еды суп киров","2019-07-01 - 2019-09-09","1.00","1.00","100.00","2.00","2.00","0.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"продаются ли на театральной площади замороженные чебуреки","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"заказать сухарики на дом киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"где заказать готовые салаты киров","2019-07-01 - 2019-09-09","1.00","1.00","100.00","4.00","4.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"пельмени как раньше киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","13.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"купить чебуреки в кирове полуфабрикат","2019-07-01 - 2019-09-09","1.00","0.00","0.00","14.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"лапша в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"заказать чебуреки в кирове","2019-07-01 - 2019-09-09","1.00","1.00","100.00","5.00","5.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","",""
"острая лапша купить","2019-07-01 - 2019-09-09","1.00","0.00","0.00","13.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"купить чизкейк пп киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","3.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"киров вкусные чебуреки стулово","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"чебурек киров доставка","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"чебуреки на мопра","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"потапов пельмени киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","3.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"где купить пп десерты в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"заказать лапшу wok киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"доставка еды в г киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"шумовка производственная","2019-07-01 - 2019-09-09","1.00","0.00","0.00","14.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"заказать тарелку к пиву киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"чебуреки пижанка купить в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"заказ на дом киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"киров гренки","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"доставка салатов киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","3.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"заказать пиццу кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"вок доставка киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"киров купить домашнюю лапшу","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"заказать чебурек","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"где купить нолинские пельмени в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"киров еда бесплатно.доставка суп","2019-07-01 - 2019-09-09","1.00","1.00","100.00","2.00","2.00","0.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"заказ горячего киров","2019-07-01 - 2019-09-09","1.00","1.00","100.00","2.00","2.00","0.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"купить замороженные чебуреки по акции в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"лавка вкусной еды киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","29.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","29.00",""
"еда киров рф","2019-07-01 - 2019-09-09","1.00","0.00","0.00","21.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","21.00",""
"гулинские пельмени цена","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"доставка еды киров после 22 00","2019-07-01 - 2019-09-09","1.00","1.00","100.00","6.00","6.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","6.00","6.00","0.00","0.00","","",""
"шумовки это","2019-07-01 - 2019-09-09","1.00","0.00","0.00","32.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","32.00",""
"кафе тулялялю","2019-07-01 - 2019-09-09","1.00","0.00","0.00","15.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"доставка чизкейков","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"цена и разнообразие вятский чебурек киров меню","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"сырные палочки где купить","2019-07-01 - 2019-09-09","1.00","1.00","100.00","11.00","11.00","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","1.00","100.00","11.00","11.00"
"заказ еды 43","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"кухня калинина 40","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"заказ еды из ресторана киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","22.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","22.00",""
"пицца за4ахать киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"пиволюбитель калинина 40","2019-07-01 - 2019-09-09","1.00","0.00","0.00","15.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"киров заказать обеда с доставкой","2019-07-01 - 2019-09-09","1.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"вожгалы чебуреки мясной цех","2019-07-01 - 2019-09-09","1.00","0.00","0.00","16.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","16.00",""
"купить салат киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","3.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"лучшие десерты в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"пицца морская в кирове","2019-07-01 - 2019-09-09","1.00","1.00","100.00","3.00","3.00","0.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"заказать суп с доставкой в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"доставка ролл в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"кафе доставка","2019-07-01 - 2019-09-09","1.00","0.00","0.00","13.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"чебуреки киров свободы","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"где поесть в кирове удон","2019-07-01 - 2019-09-09","1.00","0.00","0.00","3.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"кафе шумовка черный работодатель","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"купить пиццу","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"кафе в кирове 40 +","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"доставка домашней еды","2019-07-01 - 2019-09-09","1.00","0.00","0.00","1.00","","0.00","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"pannucci's pizza","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"заказать в кирове чизкейк","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"закапицца киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"заказать роллов в киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"где.купить вкусные пельмени самолепки?киров","2019-07-01 - 2019-09-09","1.00","1.00","100.00","4.00","4.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"домашний обед на дом","2019-07-01 - 2019-09-09","1.00","1.00","100.00","4.00","4.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"вок лапша киров доставка","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"удон заказать в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"вкусная кухня доставка","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"магазин удона воровского попова","2019-07-01 - 2019-09-09","1.00","0.00","0.00","13.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"бесплатная доставка еды на дом","2019-07-01 - 2019-09-09","1.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"чебуреки с доставкой кировский рн спб","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"салон бау пельмени","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"шумовка киров еда на вынос отзывы","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"горячие блюда на дом в кирове","2019-07-01 - 2019-09-09","1.00","1.00","100.00","5.00","5.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","",""
"shumovka","2019-07-01 - 2019-09-09","1.00","1.00","100.00","2.00","2.00","0.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"чебурек на заказ","2019-07-01 - 2019-09-09","1.00","1.00","100.00","1.00","1.00","0.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"обеды на заказ с доставкой","2019-07-01 - 2019-09-09","1.00","0.00","0.00","19.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","19.00",""
"горячие обеды с доставкой на дом киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"куплю домашние пельмени киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"вкусно поесть с доставкой киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"заказать японскую лапшу на дом","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"кафе десерты киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"пельмени по акции киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","3.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"wok и паста","2019-07-01 - 2019-09-09","1.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"где в кирове продают вкусные десерты","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
