"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"чебуреки на дом киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"чебуреки 43 фото","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"горячие супы доставка","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"доставка пиццы бесплатно киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"роллы и пицца заказ","2019-07-04 - 2019-10-04","1.00","0.00","0.00","16.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","16.00",""
"доставка еды киров круглосуточно киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"где купить роллы в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","15.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"вкусная пицца доставка киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"заказать лапшу wok на дом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"до скольки работает суп киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"заказать поесть в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"калинина 40 пивной","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"домашние пельмени цена","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"еда на заказ г.киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"пельмени ручной лепки где заказать кировская область","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"чизкейк на заказ киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"где купить лапшу для удона киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","14.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"заказать вкусные роллы с доставкой киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"кировский салат","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"запеченная филадельфия киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","20.00","20.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","1.00","100.00","20.00","20.00"
"заказать суп на дом кириши","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"заказать еду в столовая киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"доставка еды в","2019-07-04 - 2019-10-04","1.00","0.00","0.00","14.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"салаты киров магазины","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"доставка круглосуточно киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","20.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","20.00",""
"глобус заказ лапши","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"шум гам киров калинина 40 пиццерия","2019-07-04 - 2019-10-04","1.00","0.00","0.00","17.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","17.00",""
"киров доставка круглосуточно","2019-07-04 - 2019-10-04","1.00","0.00","0.00","22.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","22.00",""
"шумовка пицца киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"заказать нам пиццу","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"заказать роллы в кирове на дом данар","2019-07-04 - 2019-10-04","1.00","0.00","0.00","37.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","37.00",""
"заказ еды из ресторана на дом киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"shumovka","2019-07-04 - 2019-10-04","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"азина 82 чебуреки киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"сайт круглосуточная доставка еды киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","11.00","11.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","1.00","100.00","11.00","11.00"
"заказать суп с доставкой в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"заказала пиццу","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"доставка салатов киров просторы","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"киров еде","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"доставка блюд киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"киров где заказать вкусную пиццу","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"толмачевские пельмени киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"самая вкусная пицца в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","46.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","46.00",""
"где вкусные сырные палки с доставкой киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"шумовка номер телефона","2019-07-04 - 2019-10-04","1.00","0.00","0.00","16.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","16.00",""
"недорогая пицца киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"кафе столовая елка на калинина сорок","2019-07-04 - 2019-10-04","1.00","0.00","0.00","17.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","17.00",""
"доставка еды в киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"пышка заказ салаты на кирова","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"супы с доставкой киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"доставка еды пунк","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"глобус доставка продуктов киров ветчина куриная","2019-07-04 - 2019-10-04","1.00","0.00","0.00","15.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"доставка лапши киров недорого","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"пицца и роллы с доставкой","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"купить чизкейк у полины филимоновой цена","2019-07-04 - 2019-10-04","1.00","1.00","100.00","8.00","8.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","8.00","8.00","0.00","0.00","","",""
"кафе вкусно блин киров меню","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"киров где купить салаты после 20-00 со скидкой 50%","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"заказать в кирове чизкейк","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"кировский ролл с курой","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"антистресс лапша киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"заказ еды бесплатная доставка","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"сушилка киров доставка меню","2019-07-04 - 2019-10-04","1.00","0.00","0.00","43.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","43.00",""
"покушать в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","50.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","50.00",""
"блинчики на заказ киров доставка","2019-07-04 - 2019-10-04","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"пицца с доставкой","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"пельмяш киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"мясо на вынос в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","15.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"чебуреки на октябрьском проспекте","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"заказать еды","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"кулинария киров закуски","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"острая еда с доставкой","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"заказать вкусные роллы киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"управление стиральной супов по кировской области московской","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"доставка бесплатная","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"купить салат киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"салат юлаева 7 киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","1.00","","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"миа куста пицца киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"киров акции на пельмени","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"пицца заказать бесплатная доставка киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"где купить в кирове пельмени фирмы мечта","2019-07-04 - 2019-10-04","1.00","0.00","0.00","17.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","17.00",""
"заказать горячие блюда на дом в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","1.00","","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"чизкеячна в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"уилка для салата киров купить","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"купить пиццу","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"кирова 40 доставка еды","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"заказать в кирове роллы","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"еда киров доставка на дом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"меню в блинок","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"быстро и вкусно чебуреки заказать","2019-07-04 - 2019-10-04","1.00","0.00","0.00","1.00","","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"где в кирове купить суппи","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"горячие блюда доставка на дом киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"пицца на заказ","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"купить суп киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","8.00","8.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","8.00","8.00","0.00","0.00","","",""
"где купить суп солянка дороничи киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"заказать пицца киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"шумовка 46см купить в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"японочка.43 пиццерия","2019-07-04 - 2019-10-04","1.00","0.00","0.00","40.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","40.00",""
"ул. калинина д.40","2019-07-04 - 2019-10-04","1.00","0.00","0.00","15.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"ljcnfdrf43","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"столовые пельмени киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"заказать роллы в кирове на дом сушилка","2019-07-04 - 2019-10-04","1.00","0.00","0.00","50.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","50.00",""
"доставка рамен киров киров доставка","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"лучшие пельменные киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","15.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"пельмени киров производство","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"доставка еды цезарь","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"доставка горячих обедов","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"салат новый кировский","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"ljcnfdrf tls rbhjd ctvtqyjt rfat клевер","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"магги пельмени по уральски киров цена","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"закащ","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"киров пельмени трио","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"доставка еды киров от 200 рублей","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"самые вкусные чебуреки на заказ тел в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"заказать меню на вынос киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"пиво на дом киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","37.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","37.00",""
"доставка меню на неделю киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"заказ роллы на дом киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"пицца роллы доставка","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"купить сырные палочки в планировке в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"цены на чебуреки в кирове 2019","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"заказать роллы в кирове недорого","2019-07-04 - 2019-10-04","1.00","0.00","0.00","41.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","41.00",""
"купить салаты кировский р-он","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"паста заказать на дом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"десерт кафе киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"чебуреки замороженные оптом в кирове","2019-07-04 - 2019-10-04","1.00","1.00","100.00","10.00","10.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","10.00","10.00","0.00","0.00","","",""
"доставки пиццы киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"акция хочу чебурек киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"купить пиццу с доставкой","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"заказать чебуреки в кирове на дом","2019-07-04 - 2019-10-04","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"супермаркет кировский каталог салатов","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"чебуреки на центральном рынке киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"где купить замороженные чебуреки киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"киров заказ","2019-07-04 - 2019-10-04","1.00","0.00","0.00","19.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","19.00",""
"пивные тарелки доставка киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"маникюр чизкейк 43","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"киров замороженные чебуреки","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"вкусные блинные в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"заказать лапшу","2019-07-04 - 2019-10-04","1.00","2.00","200.00","2.00","2.00","0.00","0.00","","1.00","2.00","200.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"киров заказ ланча","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"доставка лапши в коробочках киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"пижанские пельмени киров цена","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"пельменница киров купить","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"салажны кировская область","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
